churn_prob,risk_segment,recommended_action
0.9703165814854751,High Risk,Assign dedicated support agent
0.9684003355853088,High Risk,Assign dedicated support agent
0.9660287437965583,High Risk,Assign dedicated support agent
0.9632384123311971,High Risk,Assign dedicated support agent
0.9631981613236181,High Risk,Assign dedicated support agent
0.9630633144269978,High Risk,Assign dedicated support agent
0.9622489996781998,High Risk,Assign dedicated support agent
0.9620881135412559,High Risk,Assign dedicated support agent
0.9601183851626847,High Risk,Assign dedicated support agent
0.959149893190488,High Risk,Assign dedicated support agent
0.9591137900599971,High Risk,Assign dedicated support agent
0.95635056367766,High Risk,Assign dedicated support agent
0.9561647307544852,High Risk,Assign dedicated support agent
0.9558460869357256,High Risk,Assign dedicated support agent
0.9553162786831847,High Risk,Assign dedicated support agent
0.9552550371135211,High Risk,Assign dedicated support agent
0.9551502352851904,High Risk,Assign dedicated support agent
0.9538457688883247,High Risk,Assign dedicated support agent
0.9535942454319946,High Risk,Assign dedicated support agent
0.9534798290314244,High Risk,Assign dedicated support agent
0.9531719340577942,High Risk,Assign dedicated support agent
0.9526004644077694,High Risk,Assign dedicated support agent
0.9521606648507346,High Risk,Send onboarding assistance email
0.9521606648507346,High Risk,Send onboarding assistance email
0.9519151688448546,High Risk,Send onboarding assistance email
0.9518906315120002,High Risk,Send onboarding assistance email
0.9518906315120002,High Risk,Send onboarding assistance email
0.9518906315120002,High Risk,Send onboarding assistance email
0.9518481225802147,High Risk,Assign dedicated support agent
0.951792199103896,High Risk,Assign dedicated support agent
0.9511184378406345,High Risk,Send onboarding assistance email
0.9511184378406345,High Risk,Send onboarding assistance email
0.9501132618880419,High Risk,Send onboarding assistance email
0.9501132618880419,High Risk,Send onboarding assistance email
0.9501132618880419,High Risk,Send onboarding assistance email
0.9500234846536797,High Risk,Send onboarding assistance email
0.9497889147737427,High Risk,Assign dedicated support agent
0.9496765256853448,High Risk,Assign dedicated support agent
0.9493417818626704,High Risk,Assign dedicated support agent
0.9493120717925957,High Risk,Send onboarding assistance email
0.9479862835969506,High Risk,Assign dedicated support agent
0.9477096769515703,High Risk,Send onboarding assistance email
0.9477096769515703,High Risk,Send onboarding assistance email
0.9475918093275816,High Risk,Assign dedicated support agent
0.9469495886454559,High Risk,Assign dedicated support agent
0.9465267190078184,High Risk,Assign dedicated support agent
0.9465047272063264,High Risk,Send onboarding assistance email
0.9455640208623178,High Risk,Send onboarding assistance email
0.945530886598002,High Risk,Assign dedicated support agent
0.9454449645940164,High Risk,Assign dedicated support agent
0.9454449645940164,High Risk,Assign dedicated support agent
0.9451712823376569,High Risk,Assign dedicated support agent
0.9450739848444266,High Risk,Assign dedicated support agent
0.9450439099470954,High Risk,Send onboarding assistance email
0.9450439099470954,High Risk,Send onboarding assistance email
0.9447652701568662,High Risk,Assign dedicated support agent
0.9447633792411171,High Risk,Send onboarding assistance email
0.9441776806042165,High Risk,Assign dedicated support agent
0.9441603927401571,High Risk,Send onboarding assistance email
0.9440791190577713,High Risk,Assign dedicated support agent
0.944031731760424,High Risk,Assign dedicated support agent
0.9437524973253487,High Risk,Send onboarding assistance email
0.9436459331365996,High Risk,Assign dedicated support agent
0.943396759333021,High Risk,Assign dedicated support agent
0.9433541303342011,High Risk,Assign dedicated support agent
