churn_prob,risk_segment,recommended_action,Churn
0.7593487076938107,High Risk,Send onboarding assistance email,0
0.10304263052320835,Low Risk,No action needed,0
0.6918458799083589,Medium Risk,Send onboarding assistance email,1
0.06621355199289304,Low Risk,No action needed,0
0.8200462410252457,High Risk,Assign dedicated support agent,1
0.9403369968107772,High Risk,Assign dedicated support agent,1
0.6199815987574795,Medium Risk,Offer service bundle discount,0
0.3296057134213319,Low Risk,No action needed,0
0.7518691934729789,High Risk,Assign dedicated support agent,1
0.07489793240667589,Low Risk,No action needed,0
0.24372627710147104,Low Risk,No action needed,0
0.07553021534370286,Low Risk,No action needed,0
0.3920541787305726,Low Risk,No action needed,0
0.7077257109129742,High Risk,Assign dedicated support agent,1
0.6566606268597246,Medium Risk,Offer service bundle discount,0
0.08641825837472521,Low Risk,No action needed,0
0.035120523485057,Low Risk,No action needed,0
0.18149003534637947,Low Risk,No action needed,0
0.2929718838937596,Low Risk,No action needed,1
0.6950744252939439,Medium Risk,Offer service bundle discount,0
0.9193618305744282,High Risk,Send onboarding assistance email,1
0.16298274591647147,Low Risk,No action needed,0
0.6802597194393458,Medium Risk,Send onboarding assistance email,1
0.06417293005633441,Low Risk,No action needed,0
0.1393390312023659,Low Risk,No action needed,0
0.1814261772380496,Low Risk,No action needed,0
0.6641818694445207,Medium Risk,Offer service bundle discount,1
0.7872074360986797,High Risk,Send onboarding assistance email,1
0.008415569267290608,Low Risk,No action needed,0
0.5472744478576572,Medium Risk,Send re-engagement email,1
0.08383740071898613,Low Risk,No action needed,0
0.8122309770447095,High Risk,Assign dedicated support agent,0
0.13205989569340393,Low Risk,No action needed,0
0.5396026333100381,Medium Risk,Send re-engagement email,0
0.7532775157083356,High Risk,Send onboarding assistance email,0
0.0606025345439609,Low Risk,No action needed,0
0.7598880230162278,High Risk,Send onboarding assistance email,1
0.4278738790599314,Medium Risk,Send re-engagement email,0
0.7370955358267619,High Risk,Assign dedicated support agent,1
0.920858421838048,High Risk,Assign dedicated support agent,1
0.2658803262581747,Low Risk,No action needed,0
0.05859255887299403,Low Risk,No action needed,0
0.08807393797089345,Low Risk,No action needed,0
0.046263339878593934,Low Risk,No action needed,0
0.4153252986431118,Medium Risk,Send re-engagement email,0
0.6557943037318982,Medium Risk,Offer service bundle discount,0
0.6777827805358201,Medium Risk,Send onboarding assistance email,0
0.8723091738968705,High Risk,Assign dedicated support agent,1
0.07235054006371015,Low Risk,No action needed,0
0.08299812107147853,Low Risk,No action needed,0
0.6145954737673511,Medium Risk,Offer service bundle discount,0
0.682928793302292,Medium Risk,Offer service bundle discount,1
0.23018875421788249,Low Risk,No action needed,0
0.8239767649241887,High Risk,Assign dedicated support agent,1
0.15759303144005918,Low Risk,No action needed,0
0.8258078248890982,High Risk,Assign dedicated support agent,1
0.2666581580113201,Low Risk,No action needed,0
0.3556930264610304,Low Risk,No action needed,0
0.03533544301532318,Low Risk,No action needed,0
0.11429094947246927,Low Risk,No action needed,0
0.6760014373096656,Medium Risk,Offer service bundle discount,0
0.3685038174800595,Low Risk,No action needed,0
0.0403470201024877,Low Risk,No action needed,0
0.2732394197543224,Low Risk,No action needed,0
0.8734975558232059,High Risk,Assign dedicated support agent,1
0.5841422569139546,Medium Risk,Send re-engagement email,0
0.32467509550217377,Low Risk,No action needed,0
0.09048486456148812,Low Risk,No action needed,0
0.010612272504399467,Low Risk,No action needed,0
0.5936643524698197,Medium Risk,Send re-engagement email,0
0.4919666593188204,Medium Risk,Send re-engagement email,0
0.045273293548123886,Low Risk,No action needed,0
0.2788558680876384,Low Risk,No action needed,0
0.007268371817192616,Low Risk,No action needed,0
0.4008641658118835,Medium Risk,Send re-engagement email,0
0.40665534905742234,Medium Risk,Send re-engagement email,0
0.1350123511834332,Low Risk,No action needed,0
0.2949962968937301,Low Risk,No action needed,0
0.32671486358534585,Low Risk,No action needed,0
0.0370075087251491,Low Risk,No action needed,0
0.9251893377796284,High Risk,Assign dedicated support agent,1
0.3857799110342837,Low Risk,No action needed,0
0.8251527903695819,High Risk,Assign dedicated support agent,1
0.45883905075518916,Medium Risk,Send re-engagement email,0
0.017546820983285152,Low Risk,No action needed,0
0.9084315671613225,High Risk,Assign dedicated support agent,0
0.14173539052140516,Low Risk,No action needed,0
0.013802612675349435,Low Risk,No action needed,0
0.017781265731999774,Low Risk,No action needed,0
0.43196004710010527,Medium Risk,Send re-engagement email,0
0.4299528588666986,Medium Risk,Send re-engagement email,0
0.6458086282789318,Medium Risk,Send onboarding assistance email,0
0.045137786923962545,Low Risk,No action needed,0
0.25744940306419273,Low Risk,No action needed,0
0.2352807196470084,Low Risk,No action needed,0
0.6849291404428653,Medium Risk,Send onboarding assistance email,1
0.06765507740748603,Low Risk,No action needed,0
0.25807385592189047,Low Risk,No action needed,1
0.05612662603743117,Low Risk,No action needed,0
0.7835997306042919,High Risk,Assign dedicated support agent,1
0.6156042600317643,Medium Risk,Send onboarding assistance email,0
0.5481139624192491,Medium Risk,Send re-engagement email,0
0.2615524568487118,Low Risk,No action needed,0
0.2754322573623049,Low Risk,No action needed,0
0.35982422730500396,Low Risk,No action needed,1
0.5359738671990052,Medium Risk,Send re-engagement email,0
0.22873947372356646,Low Risk,No action needed,0
0.17585307827130678,Low Risk,No action needed,0
0.37517547446327554,Low Risk,No action needed,0
0.01263235821178498,Low Risk,No action needed,0
0.4408988758944875,Medium Risk,Send re-engagement email,1
0.10493428090175652,Low Risk,No action needed,0
0.4969427589756016,Medium Risk,Send re-engagement email,0
0.6723264165931792,Medium Risk,Offer service bundle discount,1
0.06945906155920624,Low Risk,No action needed,0
0.5744307550449484,Medium Risk,Send re-engagement email,0
0.10411739995909328,Low Risk,No action needed,0
0.8821618226366685,High Risk,Assign dedicated support agent,1
0.005186346517851616,Low Risk,No action needed,0
0.3672569086754349,Low Risk,No action needed,0
0.4295538887004509,Medium Risk,Send re-engagement email,0
0.18329540506045405,Low Risk,No action needed,0
0.8673732310080517,High Risk,Assign dedicated support agent,1
0.35978622100611074,Low Risk,No action needed,0
0.2376732221384648,Low Risk,No action needed,0
0.25417158878856083,Low Risk,No action needed,0
0.6444046495778548,Medium Risk,Offer service bundle discount,1
0.013640592350112262,Low Risk,No action needed,0
0.5971145245545444,Medium Risk,Send re-engagement email,0
0.17078718510632196,Low Risk,No action needed,0
0.8098152045983977,High Risk,Assign dedicated support agent,0
0.3924484695392437,Low Risk,No action needed,1
0.05097178092910779,Low Risk,No action needed,0
0.8986906257182612,High Risk,Send onboarding assistance email,1
0.7508352020334721,High Risk,Send onboarding assistance email,1
0.0861540224148945,Low Risk,No action needed,0
0.4616982375175568,Medium Risk,Send re-engagement email,0
0.019489367624304848,Low Risk,No action needed,0
0.07718654431976736,Low Risk,No action needed,0
0.8687340569439922,High Risk,Assign dedicated support agent,1
0.03290445004276916,Low Risk,No action needed,0
0.5712726405017797,Medium Risk,Send re-engagement email,1
0.2555718014252956,Low Risk,No action needed,0
0.16042986195361453,Low Risk,No action needed,0
0.007865143190520977,Low Risk,No action needed,0
0.07123154352438747,Low Risk,No action needed,0
0.09419774111940818,Low Risk,No action needed,0
0.8286554984202439,High Risk,Send onboarding assistance email,1
0.15015074333335765,Low Risk,No action needed,0
0.24096815264257918,Low Risk,No action needed,0
0.5186776416508191,Medium Risk,Send re-engagement email,0
0.8923069427657143,High Risk,Assign dedicated support agent,1
0.21713404943722397,Low Risk,No action needed,0
0.05877881951913802,Low Risk,No action needed,0
0.14950502739529933,Low Risk,No action needed,0
0.6666111482318406,Medium Risk,Offer service bundle discount,0
0.6100942034190678,Medium Risk,Offer service bundle discount,0
0.014924079948843474,Low Risk,No action needed,0
0.0883282310371347,Low Risk,No action needed,0
0.09921573512976786,Low Risk,No action needed,0
0.4203203061393884,Medium Risk,Send re-engagement email,0
0.6050315867543591,Medium Risk,Offer service bundle discount,1
0.7441509607357218,High Risk,Send onboarding assistance email,0
0.041810517082910274,Low Risk,No action needed,0
0.1232311296311837,Low Risk,No action needed,0
0.01830253452896753,Low Risk,No action needed,0
0.817551486406149,High Risk,Assign dedicated support agent,1
0.00570046358359534,Low Risk,No action needed,0
0.6116032432101546,Medium Risk,Offer service bundle discount,1
0.21126940085515922,Low Risk,No action needed,0
0.27192422232960084,Low Risk,No action needed,0
0.8428558618758121,High Risk,Assign dedicated support agent,1
0.13205176822789963,Low Risk,No action needed,0
0.499327247956026,Medium Risk,Send re-engagement email,1
0.04285442252968554,Low Risk,No action needed,0
0.05865360423177341,Low Risk,No action needed,0
0.754141222375952,High Risk,Assign dedicated support agent,1
0.6255954522176406,Medium Risk,Send onboarding assistance email,1
0.7077495657475523,High Risk,Assign dedicated support agent,0
0.05456954092160046,Low Risk,No action needed,0
0.6900238838297067,Medium Risk,Send onboarding assistance email,1
0.7373686342647678,High Risk,Send onboarding assistance email,0
0.8214457934074126,High Risk,Assign dedicated support agent,1
0.1976656695006438,Low Risk,No action needed,0
0.8058683467870409,High Risk,Assign dedicated support agent,1
0.7811304591167141,High Risk,Send onboarding assistance email,1
0.3417162760173823,Low Risk,No action needed,0
0.5063170766634876,Medium Risk,Send re-engagement email,0
0.15164323811961156,Low Risk,No action needed,0
0.1889640255235117,Low Risk,No action needed,0
0.1549771154723738,Low Risk,No action needed,0
0.8855218770955698,High Risk,Assign dedicated support agent,1
0.014333497276204166,Low Risk,No action needed,0
0.030050538386770232,Low Risk,No action needed,0
0.055926947563535535,Low Risk,No action needed,0
0.7056244421631068,High Risk,Assign dedicated support agent,0
0.08274455318009702,Low Risk,No action needed,0
