gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,charge_per_tenure,total_services,is_new_customer,is_high_value,no_support_services,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,0.013888888888888888,0,1,0.11542288557213931,0.0034370394252026537,0,0.18192596999702523,0.125,1,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,0.4722222222222222,1,0,0.3850746268656716,0.21756401989683127,0,0.016910701384799387,0.375,0,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,0,0,0.027777777777777776,1,1,0.35422885572139307,0.012452791083271925,1,0.21946368620118145,0.375,1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,0.625,0,0,0.23930348258706463,0.21195076455416362,0,0.008130255555576085,0.375,0,0,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
0,0,0,0,0.027777777777777776,1,1,0.5218905472636816,0.017461542004421522,1,0.2891618149108269,0.125,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,0.1111111111111111,1,1,0.8099502487562189,0.09447540530582167,1,0.13411622493259487,0.625,1,1,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,1,0.3055555555555555,1,1,0.7049751243781094,0.22446112748710395,0,0.044791237461036595,0.5,0,1,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
0,0,0,0,0.1388888888888889,0,0,0.11442786069651739,0.03476188282977156,0,0.030280365166260374,0.125,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,0,0.38888888888888884,1,1,0.8611940298507462,0.3507334653647753,1,0.041563366886528265,0.75,0,1,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
1,0,0,1,0.861111111111111,1,0,0.3771144278606965,0.40161546610169496,0,0.007779133638638122,0.375,0,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
